INFO 2017-12-28 07:16:47,586 - Manager Started
INFO 2017-12-28 07:16:57,930 - [+] wait has been added
INFO 2017-12-28 07:18:40,882 - Manager Started
INFO 2017-12-28 07:19:10,805 - Manager Started
INFO 2017-12-28 07:19:19,568 - [+] wait has been added
INFO 2017-12-28 07:19:38,046 - [+] wait has been added
INFO 2017-12-28 07:19:43,150 - [+] wait has been added
INFO 2017-12-28 08:10:19,463 - Manager Started
INFO 2017-12-28 08:10:41,735 - [+] wait has been added
INFO 2017-12-28 08:11:12,518 - [+] wait has been added
INFO 2017-12-28 08:13:15,703 - Manager Started
INFO 2017-12-28 08:13:25,298 - [+] wait has been added
INFO 2017-12-28 08:14:12,401 - [+] wait has been added
INFO 2017-12-28 08:24:40,000 - Manager Started
INFO 2017-12-28 08:25:15,179 - [+] wait has been added
INFO 2017-12-28 08:25:37,195 - [+] wait has been added
INFO 2017-12-28 08:26:56,753 - Manager Started
INFO 2017-12-28 08:27:04,920 - [+] wait has been added
INFO 2017-12-28 08:27:11,489 - [+] wait has been added
INFO 2017-12-28 08:40:57,768 - Manager Started
INFO 2017-12-28 08:41:06,476 - [+] wait has been added
INFO 2017-12-28 08:41:53,548 - Manager Started
INFO 2017-12-28 08:56:46,357 - Manager Started
INFO 2017-12-28 08:56:53,697 - [+] wait has been added
INFO 2017-12-28 08:57:32,184 - [+] wait has been added
INFO 2017-12-28 09:01:45,106 - Manager Started
INFO 2017-12-28 09:01:58,812 - Manager Started
INFO 2017-12-28 09:02:10,706 - [+] wait has been added
INFO 2017-12-28 09:02:54,079 - Manager Started
INFO 2017-12-28 09:04:13,582 - Manager Started
INFO 2017-12-28 09:04:20,404 - [+] wait has been added
INFO 2017-12-28 09:05:47,743 - Manager Started
INFO 2017-12-28 09:06:48,805 - Manager Started
INFO 2017-12-28 09:13:04,642 - Manager Started
INFO 2017-12-28 09:13:15,495 - [+] Task has been added
INFO 2017-12-28 09:16:24,858 - Manager Started
INFO 2017-12-28 09:16:33,240 - [+] Task has been added
INFO 2017-12-28 09:31:38,476 - Manager Started
INFO 2017-12-28 09:31:44,455 - [+] Task has been added
INFO 2017-12-28 09:31:51,599 - [+] Task has been added
INFO 2017-12-28 06:53:22,803 - Manager Started
INFO 2017-12-28 07:30:29,923 - Manager Started
INFO 2017-12-28 07:32:27,867 - Manager Started
INFO 2017-12-30 09:32:10,860 - Manager Started
INFO 2017-12-30 09:42:17,170 - Manager Started
INFO 2017-12-30 11:24:23,151 - Manager Started
INFO 2017-12-30 11:26:44,119 - Manager Started
INFO 2017-12-30 11:49:41,428 - Manager Started
INFO 2017-12-30 12:02:33,905 - Manager Started
INFO 2017-12-30 12:06:04,205 - Manager Started
INFO 2017-12-30 12:08:40,609 - Manager Started
INFO 2017-12-30 12:08:56,907 - Manager Started
INFO 2017-12-30 12:09:19,486 - Manager Started
INFO 2017-12-30 12:10:40,969 - Manager Started
INFO 2017-12-30 12:10:57,205 - Manager Started
INFO 2018-01-03 06:47:35,110 - Manager Started
INFO 2018-01-03 06:53:55,920 - Manager Started
INFO 2018-01-03 06:58:46,208 - Manager Started
INFO 2018-01-03 07:00:39,149 - Manager Started
INFO 2018-01-03 07:03:52,187 - Manager Started
INFO 2018-01-03 07:10:17,400 - Manager Started
INFO 2018-01-03 15:36:06,480 - Manager Started
INFO 2018-01-03 15:40:18,368 - Manager Started
INFO 2018-01-03 15:42:01,303 - Manager Started
INFO 2018-01-03 15:44:11,216 - Manager Started
INFO 2018-01-03 17:49:38,884 - Manager Started
INFO 2018-01-03 20:36:28,941 - Manager Started
INFO 2018-01-03 21:26:36,088 - Manager Started
INFO 2018-01-04 01:58:47,992 - Manager Started
INFO 2018-01-04 02:13:35,555 - Manager Started
INFO 2018-01-04 04:23:17,851 - Manager Started
INFO 2018-01-04 04:27:57,906 - Manager Started
INFO 2018-01-04 04:32:19,903 - Manager Started
INFO 2018-01-04 04:33:35,222 - Manager Started
INFO 2018-01-04 04:34:59,491 - Manager Started
INFO 2018-01-04 04:36:28,037 - Manager Started
INFO 2018-01-04 04:41:26,951 - Manager Started
INFO 2018-01-04 05:03:53,653 - Manager Started
INFO 2018-01-04 05:20:49,832 - Manager Started
INFO 2018-01-04 10:14:39,032 - Manager Started
INFO 2018-01-04 10:30:19,655 - Manager Started
INFO 2018-01-04 10:31:44,880 - Manager Started
INFO 2018-01-04 15:34:58,176 - Manager Started
INFO 2018-01-04 15:37:48,690 - Manager Started
INFO 2018-01-04 15:54:22,655 - Manager Started
INFO 2018-01-10 00:39:24,476 - Manager Started
INFO 2018-01-10 05:10:19,645 - Manager Started
INFO 2018-01-10 05:15:36,330 - Manager Started
INFO 2018-01-10 05:20:56,622 - Manager Started
INFO 2018-01-10 06:28:39,255 - Manager Started
INFO 2018-01-10 06:31:25,143 - Manager Started
INFO 2018-01-10 06:33:46,227 - Manager Started
INFO 2018-01-10 06:33:58,198 - Manager Started
INFO 2018-01-10 06:36:13,775 - Manager Started
INFO 2018-01-10 06:21:34,048 - Manager Started
INFO 2018-01-10 06:33:42,033 - Manager Started
INFO 2018-01-10 06:35:25,590 - Manager Started
INFO 2018-01-10 06:38:46,092 - Manager Started
INFO 2018-04-21 15:19:33,727 - Manager Started
INFO 2018-04-22 02:50:50,715 - Manager Started
